titulo,precio,proteinas,carbohidratos,grasas,fibra,calorias,texto_busqueda,norm_precio,norm_nutri,score_nutricional,categorias
Yogur natural,1.33,3.3,4.3,3.5,0.0,62.0,yogur natural dia yogur natural dia láctea pack 8 x 125 g,0.8816,1.65,52.34,yogures_y_postres
Yogur natural con azúcar de caña,1.39,3.3,11.6,3.5,0.0,91.0,yogur natural con azúcar de caña dia yogur natural con azúcar de caña dia láctea pack 8 x 125 g,0.8723,1.65,50.88,yogures_y_postres
Yogur natural desnatado edulcorado,0.99,3.9,5.6,0.1,0.0,39.0,yogur natural desnatado edulcorado dia yogur natural desnatado edulcorado dia láctea pack 6 x 125 g,0.9346,1.95,54.68,yogures_y_postres
Yogur natural de cabra,1.59,4.2,4.7,4.9,0.0,85.0,yogur natural de cabra dia yogur natural de cabra dia láctea pack 2 x 125 g,0.8411,2.1,52.91,yogures_y_postres
Yogur sabores,2.4,3.1,11.3,1.9,0.0,75.0,yogur sabores dia yogur sabores dia láctea pack 16 x 125 g,0.715,1.55,51.44,yogures_y_postres
Yogur con frutas,1.99,0.0,4.3,3.5,0.0,62.0,yogur con frutas dia yogur con frutas dia láctea pack 8 x 125 g,0.7788,0.0,47.39,yogures_y_postres
"Yogur sabor coco, fresa, frutos del bosque y macedonia",1.99,3.0,10.0,2.2,0.0,72.0,"yogur sabor coco, fresa, frutos del bosque y macedonia danone yogur sabor coco, fresa, frutos del bosque y macedonia danone pack 8 x 120 g",0.7788,1.5,51.4,yogures_y_postres
Yogur sabor limón,1.0,3.0,10.0,2.2,0.0,72.0,yogur sabor limón danone yogur sabor limón danone pack 4 x 125 g,0.933,1.5,51.4,yogures_y_postres
Yogur griego stracciatella Dia,1.9,2.4,15.4,8.2,0.0,148.0,yogur griego stracciatella dia fidias yogur griego stracciatella dia fidias pack 6 x 125 g,0.7928,1.2,46.42,yogures_y_postres
Yogur griego natural Dia,1.55,3.6,5.4,9.9,0.0,125.0,yogur griego natural dia fidias yogur griego natural dia fidias pack 6 x 125 g,0.8474,1.8,49.37,yogures_y_postres
Yogur griego natural con azúcar de caña Dia,1.59,3.3,11.9,9.2,0.0,144.0,yogur griego natural con azúcar de caña dia fidias yogur griego natural con azúcar de caña dia fidias pack 6 x 125 g,0.8411,1.65,47.97,yogures_y_postres
Yogur griego con fresa Dia,1.7,2.8,11.9,7.5,0.0,129.0,yogur griego con fresa dia fidias yogur griego con fresa dia fidias pack 6 x 125 g,0.824,1.4,48.07,yogures_y_postres
L-Casei fresa-plátano y coco-piña,2.25,2.6,10.7,1.6,0.0,70.0,l-casei fresa-plátano y coco-piña dia l-casei fresa-plátano y coco-piña dia pack 12 x 100 g,0.7383,1.3,50.96,yogures_y_postres
Bebida de fresa,2.0,1.8,11.4,1.2,0.0,66.0,bebida de fresa dia bebida de fresa dia láctea pack 12 x 100 g,0.7773,0.9,49.82,yogures_y_postres
Yogur líquido sabor fresa y plátano,1.49,2.6,11.4,2.0,0.0,76.0,yogur líquido sabor fresa y plátano dia yogur líquido sabor fresa y plátano dia láctea botella 1 kg,0.8567,1.3,50.62,yogures_y_postres
Bebida de yogur sabor fresa y plátano alta en proteínas,1.25,0.0,4.9,0.6,0.0,66.0,bebida de yogur sabor fresa y plátano alta en proteínas dia bebida de yogur sabor fresa y plátano alta en proteínas dia láctea botella 250 ml,0.8941,0.0,48.72,yogures_y_postres
Bífidus con nueces y cereales doble 0%,1.0,0.0,7.7,0.3,0.0,56.0,bífidus con nueces y cereales doble 0% dia bífidus con nueces y cereales doble 0% dia pack 4 x 125 g,0.933,0.0,48.31,yogures_y_postres
Bífidus con fresa doble 0%,1.0,0.0,6.4,0.0,0.0,45.0,bífidus con fresa doble 0% dia bífidus con fresa doble 0% dia pack 4 x 125 g,0.933,0.0,48.72,yogures_y_postres
Bífidus con kiwi y ciruela doble 0%,1.0,125.0,6.7,0.5,0.0,50.0,bífidus con kiwi y ciruela doble 0% dia bífidus con kiwi y ciruela doble 0% dia pack 4 x 125 g,0.933,62.5,100.0,yogures_y_postres
Bebida láctea natural 0% azúcares añadidos,1.89,2.9,3.8,1.2,0.0,50.0,bebida láctea natural 0% azúcares añadidos diacol bebida láctea natural 0% azúcares añadidos diacol pack 6 x 100 g,0.7944,1.45,52.99,yogures_y_postres
Kéfir,1.55,3.1,4.1,3.2,0.0,58.0,kéfir dia kéfir dia láctea botella 500 g,0.8474,1.55,52.23,yogures_y_postres
Kéfir con arándanos,1.75,0.0,8.2,3.2,0.0,79.0,kéfir con arándanos dia kéfir con arándanos dia láctea pack 4 x 125 g,0.8162,0.0,46.76,yogures_y_postres
